GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
MYO9B	HsaALTA0005512-2/2	chr19:17313651-17313692	3	chr19:17313112,17313654+17313651-17313692	Alt3	100.00	Fail	0.00	Fail	100.00	Fail	80.19	Pass	0.00	Fail	47.76	Fail
MYO9B	HsaALTA0005513-1/2	chr19:17322460-17322583	0	chr19:17321661,17322460+17322456-17322583	Alt3	0.00	Fail	NA	Fail	0.00	Fail	10.00	Fail	NA	Fail	0.00	Fail
MYO9B	HsaALTA0005513-2/2	chr19:17322456-17322583	4	chr19:17321661,17322460+17322456-17322583	Alt3	100.00	Fail	NA	Fail	100.00	Fail	90.00	Fail	NA	Fail	100.00	Fail
CATSPERG	HsaALTA0001501-1/2	chr19:38848922-38848968	0	chr19:38847501,38848922+38848918-38848968	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
CATSPERG	HsaALTA0001501-2/2	chr19:38848918-38848968	4	chr19:38847501,38848922+38848918-38848968	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
CATSPERG	HsaALTA0001502-1/2	chr19:38834289-38834364	0	chr19:38828286,38834289+38834220-38834364	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
CATSPERG	HsaALTA0001502-2/2	chr19:38834220-38834364	69	chr19:38828286,38834289+38834220-38834364	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
PSMD8	HsaALTA0006781-1/2	chr19:38869950-38869955	0	chr19:38867094,38869950+38869880-38869955	Alt3	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PSMD8	HsaALTA0006781-2/2	chr19:38869880-38869955	70	chr19:38867094,38869950+38869880-38869955	Alt3	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
FBXL19	HsaALTA0003267-1/2	chr16:30937090-30937252	0	chr16:30935780,30937090+30937052-30937252	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FBXL19	HsaALTA0003267-2/2	chr16:30937052-30937252	38	chr16:30935780,30937090+30937052-30937252	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HSD3B7	HsaALTA0004108-1/2	chr16:30996974-30997145	0	chr16:30996618,30996974+30996781-30997145	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HSD3B7	HsaALTA0004108-2/2	chr16:30996781-30997145	193	chr16:30996618,30996974+30996781-30997145	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HSD3B7	HsaALTA0004109-1/2	chr16:30998254-30998319	0	chr16:30998025,30998254+30998161-30998319	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HSD3B7	HsaALTA0004109-2/2	chr16:30998161-30998319	93	chr16:30998025,30998254+30998161-30998319	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CIRBP	HsaALTA0001881-1/2	chr19:1270943-1271015	0	chr19:1269409,1270943+1270927-1271015	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CIRBP	HsaALTA0001881-2/2	chr19:1270927-1271015	16	chr19:1269409,1270943+1270927-1271015	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CIRBP	HsaALTA0001882-1/2	chr19:1271335-1271364	0	chr19:1271245,1271335+1271328-1271364	Alt3	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CIRBP	HsaALTA0001882-2/2	chr19:1271328-1271364	7	chr19:1271245,1271335+1271328-1271364	Alt3	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
CIRBP	HsaALTA0001883-1/2	chr19:1271553-1271627	0	chr19:1271466,1271553+1271550-1271627	Alt3	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CIRBP	HsaALTA0001883-2/2	chr19:1271550-1271627	3	chr19:1271466,1271553+1271550-1271627	Alt3	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
C19orf26	HsaALTA0001121-1/2	chr19:1235336-1235341	0	chr19:1235500,1235336-1235389+1235341	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C19orf26	HsaALTA0001121-2/2	chr19:1235336-1235389	48	chr19:1235500,1235336-1235389+1235341	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NDUFB7	HsaALTA0005656-1/2	chr19:14677581-14677743	0	chr19:14682701,14677581-14677745+14677743	Alt3	0.00	Pass	5.88	Pass	0.00	Fail	0.00	Pass	0.85	Pass	3.90	Pass
NDUFB7	HsaALTA0005656-2/2	chr19:14677581-14677745	2	chr19:14682701,14677581-14677745+14677743	Alt3	100.00	Pass	94.12	Pass	100.00	Fail	100.00	Pass	99.15	Pass	96.10	Pass
TECR	HsaALTA0008554-1/2	chr19:14674470-14674514	0	chr19:14674069,14674470+14674341-14674514	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
TECR	HsaALTA0008554-2/2	chr19:14674341-14674514	129	chr19:14674069,14674470+14674341-14674514	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
C19orf21	HsaALTA0001120-1/2	chr19:761135-761232	0	chr19:760039,761135+761111-761232	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
C19orf21	HsaALTA0001120-2/2	chr19:761111-761232	24	chr19:760039,761135+761111-761232	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
KIAA0284	HsaALTA0004513-1/2	chr14:105355957-105356095	0	chr14:105354315,105355957+105355852-105356095	Alt3	0.00	Fail	12.50	Fail	20.00	Fail	0.00	Pass	62.50	Fail	4.17	Fail
KIAA0284	HsaALTA0004513-2/2	chr14:105355852-105356095	105	chr14:105354315,105355957+105355852-105356095	Alt3	100.00	Fail	87.50	Fail	80.00	Fail	100.00	Pass	37.50	Fail	95.83	Fail
POLR2E	HsaALTA0006524-1/2	chr19:1090109-1090140	0	chr19:1090907,1090109-1090144+1090140	Alt3	0.00	Pass	0.00	Pass	5.88	Pass	0.00	Pass	0.00	Pass	1.79	Pass
POLR2E	HsaALTA0006524-2/2	chr19:1090109-1090144	4	chr19:1090907,1090109-1090144+1090140	Alt3	100.00	Pass	100.00	Pass	94.12	Pass	100.00	Pass	100.00	Pass	98.21	Pass
CDHR5	HsaALTA0001719-1/2	chr11:618599-619162	0	chr11:619306,618599-619180+619162	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CDHR5	HsaALTA0001719-2/2	chr11:618599-619180	18	chr11:619306,618599-619180+619162	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
IGF2AS	HsaALTA0004213-1/2	chr11:2167586-2167757	0	chr11:2162177,2167586+2167475-2167757	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
IGF2AS	HsaALTA0004213-2/2	chr11:2167475-2167757	111	chr11:2162177,2167586+2167475-2167757	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MKNK2	HsaALTA0005231-1/2	chr19:2039630-2039849	0	chr19:2040133,2039630-2039855+2039849	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MKNK2	HsaALTA0005231-2/2	chr19:2039630-2039855	6	chr19:2040133,2039630-2039855+2039849	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARVCF	HsaALTA0000702-1/2	chr22:19961635-19961762	0	chr22:19963209,19961635-19961801+19961762	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ARVCF	HsaALTA0000702-2/2	chr22:19961635-19961801	39	chr22:19963209,19961635-19961801+19961762	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TRMT2A	HsaALTA0009021-1/2	chr22:20102290-20102396	0	chr22:20102488,20102290-20102399+20102396	Alt3	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
TRMT2A	HsaALTA0009021-2/2	chr22:20102290-20102399	3	chr22:20102488,20102290-20102399+20102396	Alt3	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
TRMT2A	HsaALTA0009022-1/2	chr22:20102097-20102204	0	chr22:20102284,20102097-20102208+20102204	Alt3	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail
TRMT2A	HsaALTA0009022-2/2	chr22:20102097-20102208	4	chr22:20102284,20102097-20102208+20102204	Alt3	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail
TRMT2A	HsaALTA0009023-1/2	chr22:-20100317	0	chr22:20100434,-20100339+20100317	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
TRMT2A	HsaALTA0009023-2/2	chr22:-20100339	22	chr22:20100434,-20100339+20100317	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
TRMT2A	HsaALTA0009024-1/2	chr22:20102872-20102970	0	chr22:20103195,20102872-20103077+20102970	Alt3	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
TRMT2A	HsaALTA0009024-2/2	chr22:20102872-20103077	107	chr22:20103195,20102872-20103077+20102970	Alt3	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
RANBP1	HsaALTA0006984-1/2	chr22:20114478-	0	chr22:20114345,20114478+20114475-	Alt3	95.45	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RANBP1	HsaALTA0006984-2/2	chr22:20114475-	3	chr22:20114345,20114478+20114475-	Alt3	4.55	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ZDHHC8	HsaALTA0009670-1/2	chr22:20127329-20127338	0	chr22:20127158,20127329+20127243-20127338	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass
ZDHHC8	HsaALTA0009670-2/2	chr22:20127243-20127338	86	chr22:20127158,20127329+20127243-20127338	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass
KLHL22	HsaALTA0004616-1/2	chr22:20843397-20843499	0	chr22:20850047,20843397-20843531+20843499	Alt3	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
KLHL22	HsaALTA0004616-2/2	chr22:20843397-20843531	32	chr22:20850047,20843397-20843531+20843499	Alt3	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
KLHL22	HsaALTA0004617-1/2	chr22:20819829-20819863	0	chr22:20825637,20819829-20819910+20819863	Alt3	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
KLHL22	HsaALTA0004617-2/2	chr22:20819829-20819910	47	chr22:20825637,20819829-20819910+20819863	Alt3	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
MED15	HsaALTA0005104-1/2	chr22:20936946-20937034	0	chr22:20922918,20936946+20936898-20937034	Alt3	1.61	Pass	0.00	Pass	3.79	Fail	0.00	Pass	2.40	Pass	4.45	Pass
MED15	HsaALTA0005104-2/2	chr22:20936898-20937034	48	chr22:20922918,20936946+20936898-20937034	Alt3	98.39	Pass	100.00	Pass	96.21	Fail	100.00	Pass	97.60	Pass	95.55	Pass
LZTR1	HsaALTA0004904-1/2	chr22:21348963-21349016	0	chr22:21348558,21348963+21348847-21349016	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004904-2/2	chr22:21348847-21349016	116	chr22:21348558,21348963+21348847-21349016	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004905-1/2	chr22:21349204-21349315	0	chr22:21349016,21349204+21349159-21349315	Alt3	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004905-2/2	chr22:21349159-21349315	45	chr22:21349016,21349204+21349159-21349315	Alt3	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004906-1/2	chr22:21350052-21350161	0	chr22:21349315,21350052+21350035-21350161	Alt3	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004906-2/2	chr22:21350035-21350161	17	chr22:21349315,21350052+21350035-21350161	Alt3	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004907-1/2	chr22:21350986-21351001	0	chr22:21350401,21350986+21350985-21351001	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LZTR1	HsaALTA0004907-2/2	chr22:21350985-21351001	1	chr22:21350401,21350986+21350985-21351001	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CECR2	HsaALTA0001761-1/2	chr22:18027841-18029254	0	chr22:18022692,18027841+18027838-18029254	Alt3	59.30	Fail	40.00	Fail	0.00	Fail	0.00	Fail	8.22	Fail	0.00	Pass
CECR2	HsaALTA0001761-2/2	chr22:18027838-18029254	3	chr22:18022692,18027841+18027838-18029254	Alt3	40.70	Fail	60.00	Fail	100.00	Fail	100.00	Fail	91.78	Fail	100.00	Pass
P2RX6	HsaALTA0006005-1/2	chr22:21372278-21372349	0	chr22:21370381,21372278+21372210-21372349	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
P2RX6	HsaALTA0006005-2/2	chr22:21372210-21372349	68	chr22:21370381,21372278+21372210-21372349	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC7A4	HsaALTA0008002-1/2	chr22:21385857-21386141	0	chr22:21386820,21385857-21386144+21386141	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC7A4	HsaALTA0008002-2/2	chr22:21385857-21386144	3	chr22:21386820,21385857-21386144+21386141	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
BCL2L13	HsaALTA0000928-1/2	chr22:18145683-18145779	0	chr22:18138598,18145683+18145665-18145779	Alt3	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
BCL2L13	HsaALTA0000928-2/2	chr22:18145665-18145779	18	chr22:18138598,18145683+18145665-18145779	Alt3	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
GSTT2	HsaALTA0003834-1/2	chr22:24324557-24324608	0	chr22:24323226,24324557+24324532-24324608	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GSTT2	HsaALTA0003834-2/2	chr22:24324532-24324608	25	chr22:24323226,24324557+24324532-24324608	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CABIN1	HsaALTA0001396-1/2	chr22:24438589-24438678	0	chr22:24437721,24438589+24438586-24438678	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CABIN1	HsaALTA0001396-2/2	chr22:24438586-24438678	3	chr22:24437721,24438589+24438586-24438678	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TBC1D10A	HsaALTA0008465-1/2	chr22:30700520-30700619	0	chr22:30722662,30700520-30700640+30700619	Alt3	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
TBC1D10A	HsaALTA0008465-2/2	chr22:30700520-30700640	21	chr22:30722662,30700520-30700640+30700619	Alt3	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
SF3A1	HsaALTA0007688-1/2	chr22:30735119-30735168	0	chr22:30736185,30735119-30735240+30735168	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SF3A1	HsaALTA0007688-2/2	chr22:30735119-30735240	72	chr22:30736185,30735119-30735240+30735168	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
GGT5	HsaALTA0003633-1/2	chr22:24628019-24628172	0	chr22:24628791,24628019-24628176+24628172	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGT5	HsaALTA0003633-2/2	chr22:24628019-24628176	4	chr22:24628791,24628019-24628176+24628172	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGT5	HsaALTA0003634-1/2	chr22:24621213-24621379	0	chr22:24621514,24621213-24621382+24621379	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGT5	HsaALTA0003634-2/2	chr22:24621213-24621382	3	chr22:24621514,24621213-24621382+24621379	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PPIL2	HsaALTA0006580-1/2	chr22:22049687-22049785	0	chr22:22049359,22049687+22049683-22049785	Alt3	6.90	Pass	2.78	Pass	3.03	Pass	18.10	Pass	4.88	Pass	3.23	Pass
PPIL2	HsaALTA0006580-2/2	chr22:22049683-22049785	4	chr22:22049359,22049687+22049683-22049785	Alt3	93.10	Pass	97.22	Pass	96.97	Pass	81.90	Pass	95.12	Pass	96.77	Pass
SNRPD3	HsaALTA0008088-1/2	chr22:24953643-24953768	0	chr22:24952039,24953643+24953625-24953768	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SNRPD3	HsaALTA0008088-2/2	chr22:24953625-24953768	18	chr22:24952039,24953643+24953625-24953768	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PES1	HsaALTA0006187-1/2	chr22:30976558-30976673	0	chr22:30976999,30976558-30976688+30976673	Alt3	0.00	Fail	0.00	Pass	5.26	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PES1	HsaALTA0006187-2/2	chr22:30976558-30976688	15	chr22:30976999,30976558-30976688+30976673	Alt3	100.00	Fail	100.00	Pass	94.74	Fail	100.00	Pass	100.00	Pass	100.00	Pass
PES1	HsaALTA0006188-1/3	chr22:30976051-30976080	0	chr22:30976558,30976051-30976165+30976100+30976080	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PES1	HsaALTA0006188-2/3	chr22:30976051-30976100	20	chr22:30976558,30976051-30976165+30976100+30976080	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PES1	HsaALTA0006188-3/3	chr22:30976051-30976165	85	chr22:30976558,30976051-30976165+30976100+30976080	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
PES1	HsaALTA0006189-1/2	chr22:30974824-30974982	0	chr22:30975124,30974824-30974985+30974982	Alt3	1.70	Pass	2.02	Pass	4.86	Pass	0.55	Pass	0.85	Pass	6.66	Pass
PES1	HsaALTA0006189-2/2	chr22:30974824-30974985	3	chr22:30975124,30974824-30974985+30974982	Alt3	98.30	Pass	97.98	Pass	95.14	Pass	99.45	Pass	99.15	Pass	93.34	Pass
MAPK1	HsaALTA0004984-1/2	chr22:22139310-22139440	0	chr22:22142546,22139310-22139454+22139440	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAPK1	HsaALTA0004984-2/2	chr22:22139310-22139454	14	chr22:22142546,22139310-22139454+22139440	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGT1	HsaALTA0003630-1/2	chr22:25005932-25006000	0	chr22:24999494,25005932+25005929-25006000	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGT1	HsaALTA0003630-2/2	chr22:25005929-25006000	3	chr22:24999494,25005932+25005929-25006000	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRODH	HsaALTA0006704-1/2	chr22:18907069-18907110	0	chr22:18907219,18907069-18907144+18907110	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRODH	HsaALTA0006704-2/2	chr22:18907069-18907144	34	chr22:18907219,18907069-18907144+18907110	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRODH	HsaALTA0006705-1/2	chr22:18918503-18918694	0	chr22:18923528,18918503-18918711+18918694	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRODH	HsaALTA0006705-2/2	chr22:18918503-18918711	17	chr22:18923528,18918503-18918711+18918694	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TOP3B	HsaALTA0008885-1/2	chr22:22330018-22330116	0	chr22:22337127,22330018-22330179+22330116	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
TOP3B	HsaALTA0008885-2/2	chr22:22330018-22330179	63	chr22:22337127,22330018-22330179+22330116	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
TOP3B	HsaALTA0008886-1/3	chr22:22317119-22317265	0	chr22:22318295,22317119-22317392+22317267+22317265	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
TOP3B	HsaALTA0008886-2/3	chr22:22317119-22317267	2	chr22:22318295,22317119-22317392+22317267+22317265	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
TOP3B	HsaALTA0008886-3/3	chr22:22317119-22317392	127	chr22:22318295,22317119-22317392+22317267+22317265	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
CYTH4	HsaALTA0002316-1/2	chr22:37696194-37696214	0	chr22:37695347,37696194+37696111-37696214	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CYTH4	HsaALTA0002316-2/2	chr22:37696111-37696214	83	chr22:37695347,37696194+37696111-37696214	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
DGCR14	HsaALTA0002456-1/2	chr22:19125816-19125830	0	chr22:19126672,19125816-19125992+19125830	Alt3	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
DGCR14	HsaALTA0002456-2/2	chr22:19125816-19125992	162	chr22:19126672,19125816-19125992+19125830	Alt3	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
MFNG	HsaALTA0005158-1/2	chr22:37876317-37876337	0	chr22:37876759,37876317-37876366+37876337	Alt3	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
MFNG	HsaALTA0005158-2/2	chr22:37876317-37876366	29	chr22:37876759,37876317-37876366+37876337	Alt3	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
CARD10	HsaALTA0001472-1/2	chr22:37892456-37892567	0	chr22:37893026,37892456-37892630+37892567	Alt3	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
CARD10	HsaALTA0001472-2/2	chr22:37892456-37892630	63	chr22:37893026,37892456-37892630+37892567	Alt3	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
LRP5L	HsaALTA0004829-1/2	chr22:-25747781	0	chr22:25750563,-25747869+25747781	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LRP5L	HsaALTA0004829-2/2	chr22:-25747869	88	chr22:25750563,-25747869+25747781	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC25A1	HsaALTA0007867-1/2	chr22:19165503-19165537	0	chr22:19165646,19165503-19165554+19165537	Alt3	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
SLC25A1	HsaALTA0007867-2/2	chr22:19165503-19165554	17	chr22:19165646,19165503-19165554+19165537	Alt3	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
ADRBK2	HsaALTA0000257-1/2	chr22:26098809-26098958	0	chr22:26091181,26098809+26098783-26098958	Alt3	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
ADRBK2	HsaALTA0000257-2/2	chr22:26098783-26098958	26	chr22:26091181,26098809+26098783-26098958	Alt3	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
GGA1	HsaALTA0003624-1/2	chr22:38010201-38010202	0	chr22:38004910,38010201+38010197-38010202	Alt3	0.00	Fail	11.11	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
GGA1	HsaALTA0003624-2/2	chr22:38010197-38010202	4	chr22:38004910,38010201+38010197-38010202	Alt3	100.00	Fail	88.89	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
GGA1	HsaALTA0003625-1/2	chr22:38020981-38021010	0	chr22:38019640,38020981+38020976-38021010	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass
GGA1	HsaALTA0003625-2/2	chr22:38020976-38021010	5	chr22:38019640,38020981+38020976-38021010	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass
GGA1	HsaALTA0003626-1/3	chr22:38026619-38026716	0	chr22:38026177,38026619+38026597+38026595-38026716	Alt3	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGA1	HsaALTA0003626-2/3	chr22:38026597-38026716	22	chr22:38026177,38026619+38026597+38026595-38026716	Alt3	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GGA1	HsaALTA0003626-3/3	chr22:38026595-38026716	24	chr22:38026177,38026619+38026597+38026595-38026716	Alt3	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SH3BP1	HsaALTA0007760-1/2	chr22:38038906-38039013	0	chr22:38038622,38038906+38038902-38039013	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	2.38	Pass
